Epoch,Train acc,Train loss,Test acc,Test loss
0,42.284,1.5837037688326043,52.83,1.3103096470048157
1,55.248,1.2444757070687726,56.34,1.2037331673163403
2,60.79,1.0940141946153568,60.76,1.1005242285849173
3,64.43,1.0012601455459205,61.75,1.0582117513765263
4,66.59,0.9426036170681419,64.92,0.992971645880349
5,68.25,0.8918752357782915,67.28,0.9163021090664442
6,69.798,0.853220357309522,68.94,0.8718023903762238
7,70.872,0.824881266907353,69.69,0.8471720641172384
8,71.936,0.7920193050218665,71.62,0.8021148013163216
9,72.92,0.765618151106188,71.79,0.798860645746883
10,73.864,0.7441614751925554,72.27,0.7869325280189514
11,74.69,0.7202742627971922,72.68,0.7990963179853898
12,75.46,0.7004399606029091,74.32,0.7342962456654899
13,76.098,0.6810432173254545,74.14,0.7350524120692965
14,76.608,0.6648508906364441,74.78,0.7141292434704455
15,77.462,0.6438580122597687,74.39,0.7278226647950425
16,77.814,0.6359261659252674,76.09,0.6839409157445159
17,78.154,0.6236610266253771,77.06,0.6554789479020275
18,78.73,0.609643866415219,76.34,0.6743377077428601
19,78.976,0.5988433912891866,76.92,0.6598083082633682
20,79.528,0.5896559423192993,76.85,0.662743096110187
21,79.82,0.5770124862413577,77.74,0.6391948721831358
22,80.228,0.5692530708087374,76.44,0.6996570829349228
23,80.516,0.5589140040795212,75.35,0.7183063090602054
24,80.766,0.5516320972338967,79.3,0.6061925465547586
25,81.152,0.5411172364373951,77.81,0.6404462698139722
26,81.212,0.5382046764311583,78.01,0.6349780627443821
27,81.464,0.5296067612250442,77.05,0.6748381543763077
28,81.836,0.5182563102306308,79.76,0.5845281783538528
29,81.99,0.5139612794074866,78.65,0.6243401935583428
30,82.496,0.507496423352405,80.05,0.583382872086537
31,82.538,0.5010399305454606,80.0,0.5827841581423071
32,82.624,0.4984438122843233,79.89,0.5912198707272734
33,82.876,0.48831638419414725,80.54,0.5686817331404626
34,82.884,0.48997749384406886,81.07,0.5741488205481179
35,83.35,0.47586236166222323,80.91,0.5743859376333937
36,83.424,0.4711117894600724,79.7,0.6027455582648893
37,83.604,0.471246361046496,79.97,0.5962769204302679
38,83.736,0.46349881147332206,81.49,0.539538904081417
39,84.05,0.4602057949051528,81.54,0.5469473068472706
40,84.118,0.45583038279772414,80.0,0.5918617493744138
41,83.982,0.4545126465885231,81.01,0.5681800721566889
42,84.368,0.44747653877948557,81.9,0.5392265267009977
43,84.62,0.4434120077306352,81.7,0.5403190326841572
44,84.692,0.43635216713561426,81.36,0.5449020451382746
45,85.008,0.4326216642509031,80.55,0.5816697591467749
46,85.084,0.429095043169568,80.86,0.5846246265912358
47,85.096,0.4263788712832629,81.65,0.5467506069925767
48,85.236,0.4223350371469927,81.59,0.5578177522254896
49,85.532,0.4154700658586629,80.62,0.5624273174171206
50,85.404,0.4150898594533086,81.68,0.5457544658757463
51,85.566,0.41237707409407476,81.64,0.543601191307925
52,85.638,0.4109850248412403,82.33,0.524674212630791
53,85.608,0.4143110972917293,81.86,0.541287875250925
54,85.952,0.4025096783552633,82.24,0.5293680512452428
55,86.068,0.4019615852162051,80.77,0.5809012530725214
56,86.028,0.39875087671725035,82.53,0.5307772506641436
